User country,Nr. reviews,Nr. hotel reviews,Helpful votes,Score,Period of stay,Traveler type,Pool,Gym,Tennis court,Spa,Casino,Free internet,Hotel name,Hotel stars,Nr. rooms,User continent,Member years,Review month,Review weekday
USA,11.0,4.0,13.0,5.0,Dec-Feb,Friends,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,9.0,January,Thursday
USA,119.0,21.0,75.0,3.0,Dec-Feb,Business,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,3.0,January,Friday
USA,36.0,9.0,25.0,5.0,Mar-May,Families,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,2.0,February,Saturday
UK,14.0,7.0,14.0,4.0,Mar-May,Friends,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Europe,6.0,February,Friday
Canada,5.0,5.0,2.0,4.0,Mar-May,Solo,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,7.0,March,Tuesday
Canada,31.0,8.0,27.0,3.0,Mar-May,Couples,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,2.0,March,Tuesday
UK,45.0,12.0,46.0,4.0,Mar-May,Couples,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Europe,4.0,April,Friday
USA,2.0,1.0,4.0,4.0,Mar-May,Families,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,0.0,April,Tuesday
India,24.0,3.0,8.0,4.0,Mar-May,Friends,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Asia,3.0,May,Saturday
Canada,12.0,7.0,11.0,3.0,Mar-May,Families,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,5.0,May,Tuesday
USA,102.0,24.0,58.0,2.0,Jun-Aug,Families,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,9.0,June,Friday
Australia,20.0,9.0,24.0,3.0,Jun-Aug,Friends,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Oceania,4.0,June,Saturday
USA,22.0,5.0,13.0,3.0,Jun-Aug,Friends,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,1.0,July,Thursday
UK,3.0,3.0,0.0,3.0,Jun-Aug,Friends,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Europe,1.0,August,Sunday
New Zeland,146.0,17.0,33.0,4.0,Jun-Aug,Families,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Oceania,2.0,August,Saturday
Canada,8.0,8.0,9.0,1.0,Sep-Nov,Families,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,4.0,September,Wednesday
Canada,41.0,9.0,19.0,3.0,Sep-Nov,Couples,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,2.0,October,Tuesday
USA,8.0,7.0,26.0,2.0,Sep-Nov,Couples,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,10.0,October,Monday
UK,10.0,5.0,2.0,4.0,Sep-Nov,Couples,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Europe,7.0,November,Saturday
New Zeland,4.0,3.0,3.0,1.0,Sep-Nov,Couples,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Oceania,3.0,November,Monday
UK,18.0,7.0,19.0,4.0,Dec-Feb,Families,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Europe,0.0,December,Saturday
USA,4.0,4.0,3.0,2.0,Dec-Feb,Couples,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,5.0,December,Sunday
Ireland,29.0,11.0,15.0,4.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,3.0,January,Monday
USA,114.0,42.0,52.0,4.0,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,11.0,January,Saturday
Canada,30.0,12.0,17.0,5.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,8.0,February,Friday
UK,87.0,18.0,36.0,3.0,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,3.0,February,Thursday
USA,26.0,10.0,28.0,5.0,Mar-May,Solo,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,1.0,March,Wednesday
Ireland,8.0,7.0,9.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,8.0,March,Wednesday
Canada,11.0,8.0,13.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,7.0,April,Friday
Canada,56.0,8.0,7.0,3.0,Mar-May,Solo,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,1.0,May,Tuesday
Egypt,13.0,12.0,8.0,3.0,Mar-May,Friends,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Africa,4.0,May,Wednesday
Australia,58.0,9.0,15.0,4.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Oceania,0.0,June,Saturday
Finland,20.0,7.0,4.0,3.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,6.0,June,Saturday
USA,70.0,27.0,24.0,4.0,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,6.0,July,Friday
Kenya,6.0,3.0,7.0,4.0,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Africa,1.0,July,Thursday
USA,24.0,6.0,9.0,2.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,2.0,August,Wednesday
Jordan,29.0,8.0,21.0,3.0,Sep-Nov,Business,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,2.0,September,Wednesday
Canada,20.0,5.0,59.0,3.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,8.0,September,Saturday
Netherlands,3.0,3.0,3.0,3.0,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,4.0,October,Saturday
Ireland,47.0,6.0,27.0,4.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,5.0,October,Monday
